Imiê	Nazwisko	Ulica	Numer	RoleId	Firma	Miasto	Telefon	Email	Kod	Password	Concat								Firma 
Rados³aw	Kostrzewa	Kar³owicza	83	1		Pi³awa Górna	578312589	Rados³aw.Kostrzewa@hotmail.com	15-968	Kostrzewa	(1,'Rados³aw','Kostrzewa','','Kar³owicza','Pi³awa Górna','15-968','578312589','Rados³aw.Kostrzewa@hotmail.com','Kostrzewa'),	'	,						GK Boryszew SA
Konrad	Kucharczyk	Æwikliñskiej	127	2	GK Farmacol SA	Polanica-Zdrój	590280585	Konrad.Kucharczyk@vp.pl	15-410	Kucharczyk	(2,'Konrad','Kucharczyk','GK Farmacol SA','Æwikliñskiej','Polanica-Zdrój','15-410','590280585','Konrad.Kucharczyk@vp.pl','Kucharczyk'),	'	,						GK Farmacol SA
Bogumi³	Gawroñski	Miedziana	110	1		Polkowice	578169114	Bogumi³.Gawroñski@wp.pl	15-427	Gawroñski	(1,'Bogumi³','Gawroñski','','Miedziana','Polkowice','15-427','578169114','Bogumi³.Gawroñski@wp.pl','Gawroñski'),	'	,						GK AB SA
Szczepan	Rybicki	Gomó³ki	30	1		Przemków	585566546	Szczepan.Rybicki@poczta.onet.pl	15-228	Rybicki	(1,'Szczepan','Rybicki','','Gomó³ki','Przemków','15-228','585566546','Szczepan.Rybicki@poczta.onet.pl','Rybicki'),	'	,						GK Specja³
Gerard	Pa³ka	Reja	100	1		Siechnice	548446221	Gerard.Pa³ka@o2.pl	15-516	Pa³ka	(1,'Gerard','Pa³ka','','Reja','Siechnice','15-516','548446221','Gerard.Pa³ka@o2.pl','Pa³ka'),	'	,						Grupa Muszkieterów
Hieronim	Biernat	Mi³a	13	1		Sobótka	529226562	Hieronim.Biernat@interia.pl	15-737	Biernat	(1,'Hieronim','Biernat','','Mi³a','Sobótka','15-737','529226562','Hieronim.Biernat@interia.pl','Biernat'),	'	,						PKP Cargo SA
Krystian	Ró¿ycki	Mineralna	101	1		Stronie Œl¹skie	578329167	Krystian.Ró¿ycki@op.pl	15-860	Ró¿ycki	(1,'Krystian','Ró¿ycki','','Mineralna','Stronie Œl¹skie','15-860','578329167','Krystian.Ró¿ycki@op.pl','Ró¿ycki'),	'	,						Grupa Can-Pack SA
Leonard	Bogusz	Miodowa	38	1		Strzegom	509158314	Leonard.Bogusz@tlen.pl	15-364	Bogusz	(1,'Leonard','Bogusz','','Miodowa','Strzegom','15-364','509158314','Leonard.Bogusz@tlen.pl','Bogusz'),	'	,						GK GlaxoSmithKline Pharmaceuticals SA
Wincenty	Rogalski	Mleczna	142	1		Strzelin	524507352	Wincenty.Rogalski@gmail.com	15-859	Rogalski	(1,'Wincenty','Rogalski','','Mleczna','Strzelin','15-859','524507352','Wincenty.Rogalski@gmail.com','Rogalski'),	'	,						Philips Lighting Poland SA
Benedykt	Szymczyk	M³oda	77	2	GK Kompania Piwowarska SA	Syców	552110592	Benedykt.Szymczyk@poczta.fm	15-793	Szymczyk	(2,'Benedykt','Szymczyk','GK Kompania Piwowarska SA','M³oda','Syców','15-793','552110592','Benedykt.Szymczyk@poczta.fm','Szymczyk'),	'	,						GK Kompania Piwowarska SA
Hubert	Janus	M³yñska	14	1		Szczawno-Zdrój	502550547	Hubert.Janus@gazeta.pl	15-576	Janus	(1,'Hubert','Janus','','M³yñska','Szczawno-Zdrój','15-576','502550547','Hubert.Janus@gazeta.pl','Janus'),	'	,						Grupa Chemiczna Ciech
Sebastian	Szczepanik	Modliñska	53	2	LG Electronics M³awa Sp. z o.o.	Szklarska Porêba	556380182	Sebastian.Szczepanik@go2.pl	15-634	Szczepanik	(2,'Sebastian','Szczepanik','LG Electronics M³awa Sp. z o.o.','Modliñska','Szklarska Porêba','15-634','556380182','Sebastian.Szczepanik@go2.pl','Szczepanik'),	'	,						LG Electronics M³awa Sp. z o.o.
Norbert	Szczygie³	Modrzewiowa	175	1		Œroda Œl¹ska	544103131	Norbert.Szczygie³@yahoo.com	15-897	Szczygie³	(1,'Norbert','Szczygie³','','Modrzewiowa','Œroda Œl¹ska','15-897','544103131','Norbert.Szczygie³@yahoo.com','Szczygie³'),	'	,						Grupa Cargill w Polsce
Adolf	Buczek	Pelca	45	1		Œwidnica	510545152	Adolf.Buczek@hotmail.com	15-887	Buczek	(1,'Adolf','Buczek','','Pelca','Œwidnica','15-887','510545152','Adolf.Buczek@hotmail.com','Buczek'),	'	,						Grupa Skanska SA
£ukasz	Szostak	Mokra	78	1		Œwiebodzice	575579457	£ukasz.Szostak@vp.pl	15-409	Szostak	(1,'£ukasz','Szostak','','Mokra','Œwiebodzice','15-409','575579457','£ukasz.Szostak@vp.pl','Szostak'),	'	,						PKP Polskie Linie Kolejowe SA
Emil	Kaleta	Monte Cassino	162	1		Œwieradów-Zdrój	560432391	Emil.Kaleta@wp.pl	15-623	Kaleta	(1,'Emil','Kaleta','','Monte Cassino','Œwieradów-Zdrój','15-623','560432391','Emil.Kaleta@wp.pl','Kaleta'),	'	,						Rossmann Supermarkety Drogeryjne Polska Sp. z o.o.
Teodor	Kaczorowski	Morelowa	54	2	Kolporter Sp. z o.o. S.K.A.	Trzebnica	575292260	Teodor.Kaczorowski@poczta.onet.pl	15-854	Kaczorowski	(2,'Teodor','Kaczorowski','Kolporter Sp. z o.o. S.K.A.','Morelowa','Trzebnica','15-854','575292260','Teodor.Kaczorowski@poczta.onet.pl','Kaczorowski'),	'	,						Kolporter Sp. z o.o. S.K.A.
Rudolf	¯ebrowski	Mostowa	157	2	GK Polimex-Mostostal SA	Twardogóra	590375489	Rudolf.¯ebrowski@o2.pl	15-393	¯ebrowski	(2,'Rudolf','¯ebrowski','GK Polimex-Mostostal SA','Mostowa','Twardogóra','15-393','590375489','Rudolf.¯ebrowski@o2.pl','¯ebrowski'),	'	,						GK Polimex-Mostostal SA
Joachim	Tkaczyk	Nad Wizn¹	40	2	KGHM Metraco SA	Wa³brzych	565123149	Joachim.Tkaczyk@interia.pl	15-248	Tkaczyk	(2,'Joachim','Tkaczyk','KGHM Metraco SA','Nad Wizn¹','Wa³brzych','15-248','565123149','Joachim.Tkaczyk@interia.pl','Tkaczyk'),	'	,						KGHM Metraco SA
Jakub	Grzegorczyk	Na³êczów	2	1		Wo³ów	501220438	Jakub.Grzegorczyk@op.pl	15-293	Grzegorczyk	(1,'Jakub','Grzegorczyk','','Na³êczów','Wo³ów','15-293','501220438','Jakub.Grzegorczyk@op.pl','Grzegorczyk'),	'	,						Volkswagen Motor Polska Sp. z o.o.
Walenty	Drzewiecki	Napêkowska	165	1		Wroc³aw	518551507	Walenty.Drzewiecki@tlen.pl	15-446	Drzewiecki	(1,'Walenty','Drzewiecki','','Napêkowska','Wroc³aw','15-446','518551507','Walenty.Drzewiecki@tlen.pl','Drzewiecki'),	'	,						Grupa Saint-Gobain w Polsce
Alfons	Trojanowski	Narciarska	11	2	Grupa Animex	Z¹bkowice Œl¹skie	518137258	Alfons.Trojanowski@gmail.com	15-902	Trojanowski	(2,'Alfons','Trojanowski','Grupa Animex','Narciarska','Z¹bkowice Œl¹skie','15-902','518137258','Alfons.Trojanowski@gmail.com','Trojanowski'),	'	,						Grupa Animex
Damian	Bagiñski	Narwicka	29	2	Zak³ady Azotowe Pu³awy SA	Zgorzelec	595364580	Damian.Bagiñski@poczta.fm	15-784	Bagiñski	(2,'Damian','Bagiñski','Zak³ady Azotowe Pu³awy SA','Narwicka','Zgorzelec','15-784','595364580','Damian.Bagiñski@poczta.fm','Bagiñski'),	'	,						Zak³ady Azotowe Pu³awy SA
Rajmund	Ksi¹¿ek	Nastole	125	1		Ziêbice	582248398	Rajmund.Ksi¹¿ek@gazeta.pl	15-731	Ksi¹¿ek	(1,'Rajmund','Ksi¹¿ek','','Nastole','Ziêbice','15-731','582248398','Rajmund.Ksi¹¿ek@gazeta.pl','Ksi¹¿ek'),	'	,						Strabag Sp. z o.o.
Szymon	Jurek	Macha³owej	111	1		Z³otoryja	581357258	Szymon.Jurek@go2.pl	15-580	Jurek	(1,'Szymon','Jurek','','Macha³owej','Z³otoryja','15-580','581357258','Szymon.Jurek@go2.pl','Jurek'),	'	,						GK ABC Data SA
Zygfryd	Trzciñski	Na £ugach	59	1		¯arów	556485215	Zygfryd.Trzciñski@yahoo.com	15-452	Trzciñski	(1,'Zygfryd','Trzciñski','','Na £ugach','¯arów','15-452','556485215','Zygfryd.Trzciñski@yahoo.com','Trzciñski'),	'	,						Tele-Fonika Kable Sp. z o.o. S.K.A.
Leopold	Gawron	Nieca³a	165	2	Katowicki Holding Wêglowy SA	Drezdenko	575429124	Leopold.Gawron@hotmail.com	15-588	Gawron	(2,'Leopold','Gawron','Katowicki Holding Wêglowy SA','Nieca³a','Drezdenko','15-588','575429124','Leopold.Gawron@hotmail.com','Gawron'),	'	,						Katowicki Holding Wêglowy SA
Remigiusz	Wojtczak	Niestachowska	12	1		Gorzów Wielkopolski	530587243	Remigiusz.Wojtczak@vp.pl	15-686	Wojtczak	(1,'Remigiusz','Wojtczak','','Niestachowska','Gorzów Wielkopolski','15-686','530587243','Remigiusz.Wojtczak@vp.pl','Wojtczak'),	'	,						EdF Energia Sp. z o.o.
Florian	Rogala	Niewachlowska	191	1		Gubin	535170401	Florian.Rogala@wp.pl	15-378	Rogala	(1,'Florian','Rogala','','Niewachlowska','Gubin','15-378','535170401','Florian.Rogala@wp.pl','Rogala'),	'	,						Faurecia w Polsce
Konstanty	Kula	Niska	60	1		Kostrzyn nad Odr¹	508389495	Konstanty.Kula@poczta.onet.pl	15-383	Kula	(1,'Konstanty','Kula','','Niska','Kostrzyn nad Odr¹','15-383','508389495','Konstanty.Kula@poczta.onet.pl','Kula'),	'	,						POLOmarket Sp. z o.o.
Augustyn	Kubik	Norweska	164	1		Krosno Odrzañskie	581204472	Augustyn.Kubik@o2.pl	15-678	Kubik	(1,'Augustyn','Kubik','','Norweska','Krosno Odrzañskie','15-678','581204472','Augustyn.Kubik@o2.pl','Kubik'),	'	,						GK Grupy ¯ywiec SA
Albin	Maliszewski	Nowa	162	2	GK Action SA	Lubsko	565566197	Albin.Maliszewski@interia.pl	15-452	Maliszewski	(2,'Albin','Maliszewski','GK Action SA','Nowa','Lubsko','15-452','565566197','Albin.Maliszewski@interia.pl','Maliszewski'),	'	,						GK Action SA
Bohdan	Radomski	Nowowiejska	51	2	Fiat Powertrain Technologies Poland Sp. z o.o.	Miêdzyrzecz	592543546	Bohdan.Radomski@op.pl	15-636	Radomski	(2,'Bohdan','Radomski','Fiat Powertrain Technologies Poland Sp. z o.o.','Nowowiejska','Miêdzyrzecz','15-636','592543546','Bohdan.Radomski@op.pl','Radomski'),	'	,						Fiat Powertrain Technologies Poland Sp. z o.o.
Dominik	D¹bek	Nowy Œwiat	108	2	P4 Sp. z o.o. (Play)	Nowa Sól	522598223	Dominik.D¹bek@tlen.pl	15-763	D¹bek	(2,'Dominik','D¹bek','P4 Sp. z o.o. (Play)','Nowy Œwiat','Nowa Sól','15-763','522598223','Dominik.D¹bek@tlen.pl','D¹bek'),	'	,						P4 Sp. z o.o. (Play)
Gabriel	Kisiel	OboŸna	138	1		Skwierzyna	549551165	Gabriel.Kisiel@gmail.com	15-634	Kisiel	(1,'Gabriel','Kisiel','','OboŸna','Skwierzyna','15-634','549551165','Gabriel.Kisiel@gmail.com','Kisiel'),	'	,						Totalizator Sportowy Sp. z o.o.
Teofil	Cebula	Obroñców Westerplatte	137	2	BSH Sprzêt Gospodarstwa Domowego Sp. z o.o.	S³ubice	538260271	Teofil.Cebula@poczta.fm	15-661	Cebula	(2,'Teofil','Cebula','BSH Sprzêt Gospodarstwa Domowego Sp. z o.o.','Obroñców Westerplatte','S³ubice','15-661','538260271','Teofil.Cebula@poczta.fm','Cebula'),	'	,						BSH Sprzêt Gospodarstwa Domowego Sp. z o.o.
Brunon	Rosiak	Obrze¿na	139	2	Selgros Sp. z o.o.	Strzelce Krajeñskie	596426466	Brunon.Rosiak@gazeta.pl	15-470	Rosiak	(2,'Brunon','Rosiak','Selgros Sp. z o.o.','Obrze¿na','Strzelce Krajeñskie','15-470','596426466','Brunon.Rosiak@gazeta.pl','Rosiak'),	'	,						Selgros Sp. z o.o.
Juliusz	Zarêba	Oficerska	119	2	Grupa Anwil SA	Sulechów	563430129	Juliusz.Zarêba@go2.pl	15-382	Zarêba	(2,'Juliusz','Zarêba','Grupa Anwil SA','Oficerska','Sulechów','15-382','563430129','Juliusz.Zarêba@go2.pl','Zarêba'),	'	,						Grupa Anwil SA
Walerian	G¹sior	Ogrodowa	108	2	Electrolux Poland Sp. z o.o.	Sulêcin	528174512	Walerian.G¹sior@yahoo.com	15-538	G¹sior	(2,'Walerian','G¹sior','Electrolux Poland Sp. z o.o.','Ogrodowa','Sulêcin','15-538','528174512','Walerian.G¹sior@yahoo.com','G¹sior'),	'	,						Electrolux Poland Sp. z o.o.
Bart³omiej	Grzesiak	Okólnik	153	2	JTI Polska Sp. z o.o.	Szprotawa	569152352	Bart³omiej.Grzesiak@hotmail.com	15-799	Grzesiak	(2,'Bart³omiej','Grzesiak','JTI Polska Sp. z o.o.','Okólnik','Szprotawa','15-799','569152352','Bart³omiej.Grzesiak@hotmail.com','Grzesiak'),	'	,						JTI Polska Sp. z o.o.
Fryderyk	Gawlik	Okrê¿na	61	2	Grupa Valeo	Œwiebodzin	571196574	Fryderyk.Gawlik@vp.pl	15-856	Gawlik	(2,'Fryderyk','Gawlik','Grupa Valeo','Okrê¿na','Œwiebodzin','15-856','571196574','Fryderyk.Gawlik@vp.pl','Gawlik'),	'	,						Grupa Valeo
Eryk	Cygan	Oksywska	94	2	¯abka Polska Sp. z o. o.	Wschowa	549343504	Eryk.Cygan@wp.pl	15-347	Cygan	(2,'Eryk','Cygan','¯abka Polska Sp. z o. o.','Oksywska','Wschowa','15-347','549343504','Eryk.Cygan@wp.pl','Cygan'),	'	,						¯abka Polska Sp. z o. o.
Anatol	Rojek	Boznañskiej	153	2	PLL LOT SA	Zielona Góra	522470280	Anatol.Rojek@poczta.onet.pl	15-927	Rojek	(2,'Anatol','Rojek','PLL LOT SA','Boznañskiej','Zielona Góra','15-927','522470280','Anatol.Rojek@poczta.onet.pl','Rojek'),	'	,						PLL LOT SA
Maksymilian	Dêbowski	Olkuska	88	2	Indesit Company Polska Sp. z o.o.	¯agañ	591355100	Maksymilian.Dêbowski@o2.pl	15-438	Dêbowski	(2,'Maksymilian','Dêbowski','Indesit Company Polska Sp. z o.o.','Olkuska','¯agañ','15-438','591355100','Maksymilian.Dêbowski@o2.pl','Dêbowski'),	'	,						Indesit Company Polska Sp. z o.o.
Gustaw	Bogucki	O³owiana	38	1		Bogatynia	518511146	Gustaw.Bogucki@interia.pl	15-736	Bogucki	(1,'Gustaw','Bogucki','','O³owiana','Bogatynia','15-736','518511146','Gustaw.Bogucki@interia.pl','Bogucki'),	'	,						Orlen PetroTank Sp. z o.o.
Aleksy	Wiêckowski	Opatowska	78	1		Bielawa	531430253	Aleksy.Wiêckowski@op.pl	15-356	Wiêckowski	(1,'Aleksy','Wiêckowski','','Opatowska','Bielawa','15-356','531430253','Aleksy.Wiêckowski@op.pl','Wiêckowski'),	'	,						Grupa Bumar
Longin	Mikulski	Opoczyñska	167	2	GK NFI Empik Media&Fashion SA	Bierutów	526198363	Longin.Mikulski@tlen.pl	15-656	Mikulski	(2,'Longin','Mikulski','GK NFI Empik Media&Fashion SA','Opoczyñska','Bierutów','15-656','526198363','Longin.Mikulski@tlen.pl','Mikulski'),	'	,						GK NFI Empik Media&Fashion SA
Bartosz	Walkowiak	Orla	130	2	PKP Energetyka SA	Bogatynia	516356447	Bartosz.Walkowiak@gmail.com	15-698	Walkowiak	(2,'Bartosz','Walkowiak','PKP Energetyka SA','Orla','Bogatynia','15-698','516356447','Bartosz.Walkowiak@gmail.com','Walkowiak'),	'	,						PKP Energetyka SA
Wilhelm	Malec	Orl¹t Lwowskich	25	1		Boguszów-Gorce	544242135	Wilhelm.Malec@poczta.fm	15-775	Malec	(1,'Wilhelm','Malec','','Orl¹t Lwowskich','Boguszów-Gorce','15-775','544242135','Wilhelm.Malec@poczta.fm','Malec'),	'	,						GK LPP SA
